cable_type,inom,count,r,x,c,r0,x0,c0
918 YMeKrvaslqwd 12/20kV-1x25.0Curs+as16,135,0.000357717760686818,0.769,0.099,0.22,4.201,1.349,0.15
9552 YMeKrvas 12/20kV-1x70.0Alrm+as25+(d,180,0.0620640314791629,0.46802,0.13184,0.26589,1.30027,0.0692,0.26589
9541 YMeKrvasdlwd 12/20kV-1x150.0Alrm+as,275,0.493382221427294,0.21708,0.11669,0.3608,0.89403,0.05696,0.3608
9595 YMeKrvaslqwd 12/20kV-1x240.0Alrm+as,355,0.266410302271508,0.13517,0.10823,0.43553,0.70962,0.05052,0.43553
9563 YMeKrvasdlwd 12/20kV-1x150.0Curs+as,405,0.00134144160257557,0.13064,0.11669,0.3608,0.89403,0.05696,0.3608
9595 YMeKrvaslqwd 12/20kV-1x240.0Alrm+as,450,0.0355034877481667,0.13517,0.10823,0.43553,0.70962,0.05052,0.43553
9546 YMeKrvaslqwd 12/20kV-1x400.0Alrm+as,495,0.0019674476837775,0.0788,0.19944,0.5344,0.55206,0.04434,0.5344
9549 YMeKrvaslqwd 12/20kV-1x630.0Alrm+as,575,0.102754426757289,0.0511,0.09272,0.64103,0.44159,0.03948,0.64103
9551 YMeKrvasdlwd 12/20kV-1x630.0Alrm+as,645,0.0236988016455017,0.04985,0.18545,0.64103,0.44159,0.03948,0.64103
9549 YMeKrvaslqwd 12/20kV-1x630.0Alrm+as,710,0.0125201216240386,0.0511,0.09272,0.64103,0.44159,0.03948,0.64103
