connection,unom1,unom2,snom,uk,pk,pnull,inull,phase_shift,tap_size,tap_nom,tap_min,tap_max,rpu,xpu
YNd5,106.7,10.5,15,10.21,104.4,19.56,0,0,1.38,12,1,24,0.00696,0.101862497515032
YNd5,106.7,10.5,15,10.15,104.4,19.8,0,0,1.38,12,1,24,0.00696,0.101261090256821
YNd1,106,10.5,12,9.94,59.1,15.8,0,0,1.6,14,25,1,0.004925,0.0992779148401093
YNd5,106.7,10.7,16.53,10,109.3,23.6,0,0,1.379,12,24,1,0.00661222020568663,0.0997811532502582
YNd1,100,10.5,20,9.7,80.2,24.38,0,0,1.5,11,21,1,0.00401,0.096917077442523
YNd5,106.7,10.5,20,10.97,92.53,20.93,0,0,1.38,13,1,27,0.0046265,0.109602397317531
YNd5,106.7,10.5,20,10.652,75.52,19.07,0,0,1.392,13,1,25,0.003776,0.106453051736434
YNd1,106.7,10.5,24,10.85,96.61,20.92,0,0,1.38,13,1,27,0.00402541666666667,0.108425301570527
YNd1,105.945,10.5,30,13.58,140.52,32.31,0,0,1.586,11,1,21,0.004684,0.135719195930421
YNd1,105.945,10.5,30,13.58,141.86,33.24,0,0,1.586,11,1,21,0.00472866666666667,0.135717647015985
YNd5,106,10.5,30,14.35,196.61,28.68,0,0,1.333,14,27,1,0.00655366666666667,0.143350268410011
YNd1,106,10.7,34,13.2,124.7,25.97,0,0,1.325,13,1,25,0.00366764705882353,0.131949036999335
YNd1,110,10.7,40,14.38,146.3,17.13,0,0,1.5,8,23,1,0.0036575,0.143753478892686
YNd5,110,10.7,40,14.54,149.8,16.33,0,0,1.5,8,23,1,0.003745,0.145351762889206
YNd1,106,10.7,38,14.49,115.2,18.49,0,0,1.325,13,1,25,0.00303157894736842,0.144868283378681
YNd5,106,10.5,40,14.41,198.63,28.19,0,0,1.333,14,27,1,0.00496575,0.144014413608283
YNd5,115,11.6,66,24.4,214.5,27.5,0,0,1.6,20,1,33,0.00325,0.243978354572696
YNd5,115,11.6,66,24.3,213.2,24.6,0,0,1.6,20,1,33,0.00323030303030303,0.242978528150807
YNd5,115,10.5,60,26.74,207.86,19.319,0,0,1.5,11,1,23,0.00346433333333333,0.267377557761596
YNd1,115,11.6,66,24.3,310.89,15.287,0,0,1.6,20,1,33,0.00471045454545455,0.242954340603281
YNd1,220,22,80,17,220,43.4,0,0,3.3,11,1,21,0.00275,0.169977755897647
YNd1,220,20.8,80,18,254.6,28.9,0,0,3.3,11,21,1,0.0031825,0.179971863616928
YNd1,220,20.8,80,16,280,61.2,0,0,3.306,11,21,1,0.0035,0.15996171416936
