,n,mva,pinj
0,19.0,8.0,3
1,78.0,56.0,1
2,221.0,29.0,6
3,111.0,7.0,2
4,254.0,36.0,4
5,171.0,13.0,4
6,163.0,22.0,1
7,127.0,6.0,2
8,263.0,23.0,17
9,196.0,18.0,6
10,23.0,16.0,2
12,114.0,12.0,1
13,222.0,20.0,2
14,421.0,48.0,10
15,39.0,23.0,0
16,321.0,44.0,3
17,219.0,19.0,1
18,3.0,17.0,1
19,223.0,29.0,2
20,275.0,42.0,4
21,271.0,26.0,15
22,273.0,48.0,3
23,393.0,41.0,6
25,204.0,19.0,4
26,287.0,41.0,3
27,146.0,22.0,1
28,8.0,16.0,0
29,408.0,29.0,9
30,96.0,14.0,3
31,652.0,99.0,15
32,435.0,27.0,7
33,253.0,22.0,4
34,248.0,10.0,4
35,273.0,29.0,4
36,127.0,21.0,2
37,264.0,21.0,4
38,57.0,9.0,14
39,111.0,25.0,4
40,134.0,15.0,3
41,582.0,92.0,17
42,137.0,22.0,1
43,374.0,29.0,9
44,134.0,28.0,4
46,171.0,41.0,1
47,118.0,9.0,0
48,192.0,9.0,4
49,204.0,12.0,2
50,186.0,15.0,4
51,215.0,20.0,6
52,468.0,43.0,7
53,268.0,36.0,15
54,172.0,20.0,4
56,96.0,31.0,1
58,4.0,1.0,1
59,251.0,35.0,4
60,136.0,23.0,5
61,155.0,25.0,3
62,61.0,7.0,3
63,305.0,50.0,4
64,149.0,19.0,4
65,342.0,23.0,5
66,219.0,33.0,2
67,293.0,40.0,8
68,206.0,23.0,8
69,172.0,20.0,3
70,301.0,34.0,13
71,162.0,20.0,3
72,347.0,39.0,7
74,51.0,3.0,0
75,160.0,13.0,1
76,164.0,9.0,1
77,209.0,35.0,2
78,236.0,34.0,5
79,85.0,11.0,2
80,334.0,33.0,5
81,115.0,17.0,14
82,216.0,15.0,17
83,424.0,61.0,7
84,212.0,26.0,7
86,553.0,50.0,11
87,129.0,16.0,0
88,50.0,15.0,4
90,193.0,34.0,1
92,152.0,24.0,0
93,182.0,21.0,3
94,167.0,24.0,4
95,291.0,29.0,4
96,202.0,26.0,5
97,222.0,17.0,16
98,196.0,35.0,1
99,163.0,10.0,2
100,101.0,31.0,0
101,404.0,30.0,9
102,203.0,29.0,10
103,69.0,16.0,3
105,108.0,22.0,5
106,163.0,19.0,0
107,115.0,8.0,2
108,226.0,31.0,2
109,450.0,36.0,7
110,292.0,37.0,4
111,320.0,39.0,3
112,324.0,69.0,7
113,116.0,7.0,3
114,336.0,44.0,8
115,205.0,20.0,0
116,308.0,40.0,14
117,139.0,22.0,0
118,272.0,52.0,3
119,129.0,20.0,0
120,149.0,28.0,14
121,399.0,26.0,17
122,156.0,11.0,1
123,160.0,28.0,2
124,196.0,21.0,2
125,199.0,13.0,2
126,322.0,49.0,3
127,144.0,22.0,2
128,156.0,10.0,1
129,384.0,30.0,9
130,322.0,25.0,5
131,364.0,43.0,12
132,265.0,39.0,3
133,402.0,47.0,9
134,134.0,24.0,3
136,229.0,28.0,1
137,390.0,60.0,4
138,268.0,30.0,5
139,170.0,30.0,1
140,112.0,32.0,1
141,171.0,15.0,15
142,221.0,51.0,8
143,143.0,25.0,6
144,235.0,25.0,12
147,267.0,13.0,4
148,233.0,25.0,1
149,230.0,53.0,1
150,253.0,40.0,3
151,133.0,14.0,12
152,148.0,14.0,3
153,280.0,46.0,5
154,30.0,10.0,1
155,133.0,28.0,2
156,236.0,16.0,3
157,146.0,25.0,2
158,86.0,6.0,2
159,326.0,29.0,4
160,144.0,15.0,4
161,278.0,36.0,5
162,162.0,16.0,14
163,229.0,16.0,6
164,74.0,19.0,1
165,102.0,17.0,2
166,104.0,16.0,2
167,219.0,38.0,5
168,148.0,22.0,3
169,148.0,17.0,2
170,176.0,17.0,5
171,233.0,27.0,1
172,227.0,23.0,5
173,224.0,31.0,1
174,234.0,22.0,4
175,464.0,63.0,7
176,144.0,18.0,4
177,110.0,26.0,1
178,450.0,24.0,7
179,103.0,35.0,4
180,109.0,12.0,2
181,181.0,46.0,3
182,52.0,14.0,1
183,264.0,28.0,8
184,203.0,14.0,7
185,123.0,15.0,0
186,355.0,56.0,5
187,342.0,39.0,13
189,136.0,8.0,4
190,352.0,12.0,7
191,164.0,18.0,3
192,170.0,20.0,0
193,17.0,11.0,5
194,179.0,4.0,2
195,415.0,38.0,14
196,449.0,57.0,10
197,30.0,4.0,1
198,203.0,24.0,3
200,398.0,21.0,9
201,87.0,15.0,6
202,175.0,29.0,5
203,172.0,41.0,6
204,169.0,29.0,9
205,118.0,3.0,3
206,132.0,27.0,8
207,154.0,13.0,1
208,320.0,44.0,5
209,161.0,8.0,0
210,80.0,14.0,1
211,251.0,25.0,4
212,269.0,38.0,6
213,202.0,13.0,6
214,174.0,7.0,2
215,125.0,10.0,1
216,380.0,24.0,9
217,244.0,37.0,7
218,230.0,44.0,6
219,152.0,30.0,3
220,165.0,25.0,2
221,28.0,11.0,1
222,242.0,25.0,4
223,127.0,39.0,1
225,199.0,37.0,1
226,381.0,34.0,5
227,58.0,8.0,0
228,311.0,52.0,4
230,262.0,19.0,5
231,74.0,3.0,1
232,241.0,24.0,7
233,418.0,28.0,6
234,136.0,25.0,4
235,151.0,11.0,2
236,285.0,35.0,6
237,141.0,18.0,3
238,147.0,16.0,3
240,198.0,22.0,3
243,265.0,1.0,1
244,158.0,14.0,1
245,336.0,51.0,7
246,241.0,39.0,9
247,337.0,43.0,9
248,183.0,35.0,3
249,217.0,39.0,3
250,188.0,24.0,2
251,273.0,50.0,10
252,275.0,20.0,3
254,99.0,14.0,1
255,80.0,22.0,1
256,80.0,10.0,7
257,143.0,17.0,6
258,187.0,20.0,2
259,261.0,15.0,2
260,154.0,21.0,4
261,125.0,23.0,2
262,71.0,35.0,1
263,462.0,78.0,13
264,131.0,19.0,3
265,335.0,36.0,12
266,283.0,53.0,3
267,224.0,35.0,15
268,222.0,19.0,9
269,472.0,59.0,13
271,269.0,37.0,5
272,364.0,33.0,13
273,205.0,14.0,4
274,149.0,6.0,2
275,340.0,31.0,13
276,185.0,27.0,1
278,217.0,36.0,3
279,89.0,16.0,1
280,191.0,42.0,1
281,155.0,17.0,3
282,102.0,33.0,1
283,118.0,13.0,2
284,29.0,15.0,0
285,450.0,25.0,10
286,130.0,18.0,3
287,100.0,11.0,4
288,239.0,19.0,13
289,81.0,7.0,3
290,60.0,8.0,3
291,277.0,40.0,2
292,168.0,30.0,3
293,216.0,42.0,3
294,231.0,34.0,2
295,306.0,51.0,5
296,368.0,38.0,7
297,18.0,8.0,1
298,67.0,5.0,0
299,414.0,56.0,6
300,77.0,6.0,1
301,241.0,27.0,14
302,300.0,28.0,1
303,189.0,28.0,4
304,478.0,27.0,9
305,477.0,31.0,8
306,32.0,14.0,1
307,101.0,8.0,3
308,101.0,16.0,0
309,87.0,7.0,0
310,260.0,26.0,4
311,162.0,17.0,1
312,229.0,44.0,16
314,258.0,27.0,8
316,505.0,38.0,10
317,178.0,31.0,2
318,205.0,25.0,0
319,235.0,37.0,8
320,239.0,32.0,2
321,404.0,27.0,6
322,194.0,32.0,2
324,34.0,9.0,1
325,380.0,39.0,8
326,163.0,10.0,2
327,288.0,53.0,6
328,66.0,5.0,4
329,312.0,18.0,14
330,179.0,24.0,3
331,52.0,3.0,5
332,298.0,62.0,1
334,49.0,12.0,4
335,198.0,20.0,10
336,190.0,10.0,4
337,360.0,33.0,4
338,391.0,60.0,5
339,386.0,34.0,6
340,157.0,29.0,0
341,293.0,29.0,14
342,76.0,6.0,0
343,88.0,9.0,2
344,380.0,51.0,9
345,109.0,11.0,3
346,407.0,60.0,11
347,280.0,21.0,5
348,349.0,57.0,5
349,40.0,7.0,0
350,176.0,34.0,13
351,350.0,17.0,4
352,54.0,14.0,3
353,30.0,60.0,3
354,90.0,9.0,1
355,133.0,12.0,0
356,21.0,21.0,0
357,215.0,37.0,6
358,163.0,23.0,2
359,64.0,13.0,7
360,219.0,39.0,0
361,181.0,14.0,1
362,65.0,21.0,1
364,703.0,99.0,16
365,30.0,3.0,3
367,419.0,35.0,12
368,194.0,40.0,6
369,441.0,26.0,11
370,212.0,28.0,2
371,349.0,40.0,6
372,217.0,11.0,0
373,86.0,26.0,3
374,397.0,61.0,8
376,664.0,98.0,16
379,170.0,18.0,3
380,138.0,20.0,2
381,167.0,33.0,1
382,461.0,37.0,6
383,112.0,23.0,0
385,149.0,27.0,1
386,590.0,85.0,16
387,94.0,8.0,2
388,168.0,22.0,2
389,169.0,14.0,1
390,436.0,23.0,5
392,189.0,36.0,1
393,115.0,14.0,1
394,395.0,38.0,14
395,346.0,40.0,5
396,407.0,37.0,6
398,459.0,49.0,7
399,119.0,7.0,5
400,303.0,36.0,10
401,120.0,4.0,2
402,110.0,12.0,3
403,391.0,25.0,8
404,269.0,31.0,1
405,217.0,30.0,4
406,221.0,32.0,5
408,78.0,7.0,1
410,289.0,28.0,9
411,133.0,13.0,0
412,145.0,7.0,1
413,359.0,48.0,12
414,372.0,25.0,4
415,191.0,15.0,4
417,107.0,29.0,2
418,162.0,23.0,1
419,442.0,29.0,8
420,122.0,18.0,2
421,423.0,42.0,12
422,218.0,18.0,1
424,535.0,43.0,12
425,365.0,40.0,12
426,403.0,16.0,7
427,378.0,48.0,2
428,12.0,12.0,2
429,81.0,13.0,0
430,70.0,14.0,0
431,160.0,32.0,5
432,436.0,31.0,7
433,84.0,6.0,0
434,113.0,6.0,3
435,210.0,47.0,6
437,224.0,40.0,6
438,310.0,33.0,6
439,129.0,3.0,4
440,288.0,61.0,6
441,257.0,39.0,10
442,122.0,30.0,0
443,170.0,19.0,5
444,129.0,19.0,1
446,383.0,42.0,9
447,470.0,34.0,7
449,304.0,59.0,12
450,340.0,45.0,9
451,302.0,25.0,9
452,226.0,27.0,3
453,354.0,44.0,7
454,70.0,14.0,2
455,252.0,34.0,7
456,73.0,18.0,2
457,239.0,39.0,6
458,46.0,22.0,1
459,130.0,23.0,0
460,99.0,20.0,0
461,214.0,23.0,3
462,189.0,35.0,1
463,404.0,27.0,4
464,105.0,19.0,1
465,26.0,8.0,1
466,131.0,9.0,2
467,366.0,25.0,4
469,173.0,17.0,1
470,145.0,32.0,1
471,286.0,31.0,3
472,130.0,15.0,1
473,72.0,53.0,0
474,177.0,15.0,1
475,64.0,23.0,3
476,240.0,41.0,4
477,39.0,7.0,1
478,245.0,40.0,3
479,179.0,23.0,6
480,60.0,17.0,3
481,197.0,27.0,4
482,228.0,12.0,2
483,139.0,34.0,1
484,290.0,46.0,7
485,225.0,58.0,5
487,284.0,35.0,3
488,281.0,31.0,2
489,87.0,6.0,4
490,202.0,32.0,2
491,228.0,22.0,3
492,519.0,40.0,10
493,132.0,13.0,2
494,125.0,9.0,2
495,45.0,53.0,2
497,33.0,12.0,1
498,340.0,18.0,15
499,70.0,11.0,2
